,blob_hash,blob_bytes,blob_path,mime,language_guesslang,language_linguist,repo_name,basename,path_reversed,type
86,0004eb81c9bc1c5a8a67101bbb69bd250b102f71,105,/ssd/swh-datasets/blobs-C,text/plain,JSON,OASv3-json,qmk_firmware,info.json,splinky/v2/4x6/charybdis/bastardkb/keyboards,json
87,0004ecaebfa01f32f5e5aebe6083480adccdd393,29258,/ssd/swh-datasets/blobs-C,text/plain,Makefile,Makefile,raylib,Makefile,src,
88,000503b0821a6b65f99102770183e1f322d1ff0a,10821,/ssd/swh-datasets/blobs-C,text/x-c,C,C++,qmk_firmware,action_util.c,common/tmk_core,c
89,00050ad3f225a7b0bdeddd331896d22e5ab39194,13630,/ssd/swh-datasets/blobs-C,text/x-c,C,C,the_silver_searcher,options.c,src,c
90,00052e190a805757797e23972a582a272ffc647d,142132,/ssd/swh-datasets/blobs-C,text/x-c,C,C,micropython,compile.c,py,c
91,00052ed39d703ec851dfbf9c00a9a29d9618bc06,15314,/ssd/swh-datasets/blobs-C,text/x-c,C++,C,qmk_firmware,RNDIS.c,Lib/RNDISEthernet/LowLevel/Device/Demos/lufa/lib,c
92,000576cfe096fb8114977ab9245e8cf0e34771a3,2996,/ssd/swh-datasets/blobs-C,text/html,HTML,HTML,Tasmota,functions_vars_i.html,html/doxygen/docs/IRremoteESP8266-2.7.8.10/lib,html
93,000596d76833d3c6105111017a7fef55b88cdbe9,1250,/ssd/swh-datasets/blobs-C,text/x-diff,C,Mathematica,openwrt,565-board_hw520.patch,patches-3.14/brcm63xx/linux/target,patch
94,00059fd574dd17b2916594b0bf5e8badb3bd252d,461367,/ssd/swh-datasets/blobs-C,text/xml,XML,XML,HandBrake,MainMenu.xib,English.lproj/macosx,xib
95,0005cc5b9c79016ec7efe9ce51af37e3e85315a2,3144,/ssd/swh-datasets/blobs-C,text/plain,INI,TextMate Properties,obs-studio,eu-ES.ini,locale/data/obs-filters/plugins,ini
96,0005df6b484e41d13e86cd604354ec59e3df3090,5921,/ssd/swh-datasets/blobs-C,text/x-c,C,C,redis,SFMT-alti.h,test/include/test/jemalloc/deps,h
97,0005ec551aa6e8f20a322ae217138888c2a1e572,7541,/ssd/swh-datasets/blobs-C,text/x-m4,CMake,M4Sugar,netdata,configure.ac,,ac
98,000609cec33907b40aad0222063994f97cd50fd5,5490,/ssd/swh-datasets/blobs-C,text/x-c,C,C,sway,status_line.c,swaybar,c
99,000622d9459be67b2f16b3c6a3abfed200a736e7,17551,/ssd/swh-datasets/blobs-C,text/x-c,C,C,nginx,ngx_http_memcached_module.c,modules/http/src,c
100,0006395050644c853325b400f38bd8b14e66ba95,22232,/ssd/swh-datasets/blobs-C,text/x-c,C,C,Tasmota,tasmota.h,tasmota,h
101,00063c4f947dce541f05128c63b94d39716a6071,887,/ssd/swh-datasets/blobs-C,text/x-diff,SQL,Adblock Filter List,openresty,nginx-1.9.15-proxy_host_port_vars.patch,patches,patch
102,00065042e1d08b4eb4a0c36287bdba9542908830,31532,/ssd/swh-datasets/blobs-C,text/x-c,Objective-C,Objective-C,yabai,payload.m,osax/src,m
103,0006554a85ea2f47f0bca0d2612523bd9b47cf6a,13867,/ssd/swh-datasets/blobs-C,text/x-c,C,C,micropython,objexcept.c,py,c
104,000665f047655e583018b44496d11f90873d3b08,15107,/ssd/swh-datasets/blobs-C,text/x-diff,C,C,lede,666-Add-support-for-MAP-E-FMRs-mesh-mode.patch,pending-3.18/generic/linux/target,patch
105,000667b4c6732a480de67b1f5367c455eadbea66,17607,/ssd/swh-datasets/blobs-C,text/x-c,C,Pawn,micropython,ra_icu.c,ra/renesas-ra/ports,c
106,000670fb424420dc06462b878396a6536c63079e,129790,/ssd/swh-datasets/blobs-C,text/x-c,C,C,curl,ftp.c,lib,c
107,000686a7d91b1cd0341d3b7bc996f8eabf31af76,745,/ssd/swh-datasets/blobs-C,text/x-c,C,C,brotli,types.h,enc,h
108,0006897818b8fed472f393ec631ab7a1ca7e26da,767,/ssd/swh-datasets/blobs-C,text/plain,XML,XML,curl,test904,data/tests,
109,00068b36f1c588fd386145bf0d591fcbb8d24b94,55606,/ssd/swh-datasets/blobs-C,text/plain,SQL,Roff,timescaledb,bgw_db_scheduler.out,expected/test,out
110,00068bf7465bfedadec8aec718b7019d18c7dbab,3849,/ssd/swh-datasets/blobs-C,text/x-c,C,C,obs-studio,gl-helpers.h,libobs-opengl,h
111,00069074416405e1cf81f3c92959bb1c798cf59f,1635,/ssd/swh-datasets/blobs-C,text/x-c,Objective-C,Linker Script,darwin-xnu,sdt_isa.h,machine/mach/osfmk,h
112,0006918a9ffadea821150b65b17246e60c946d95,42377,/ssd/swh-datasets/blobs-C,text/plain,Markdown,Markdown,curl,INSTALL,docs,
113,00069e88c0ecd4b3146bca463a3c6f4804d615cd,101817,/ssd/swh-datasets/blobs-C,text/xml,XML,XML,HandBrake,Resources.resx,Properties/HandBrakeWPF/CS/win,resx
114,0006cdd9d1914d59f0805c5b57eaa1549256b64b,404,/ssd/swh-datasets/blobs-C,application/gzip,Batchfile,Coq,esp8266_deauther,attack.js.gz,js/web/data/esp8266_deauther,gz
115,0006d9bb852d9ee694da7f1552d8751adb1910f4,1318,/ssd/swh-datasets/blobs-C,text/plain,INI,RouterOS Script,qmk_firmware,rules.mk,kc60se/keyboards,mk
116,0006e30e703c35d7d7e20ce14d28e8740f4d8ac0,285902,/ssd/swh-datasets/blobs-C,text/x-c,C,HolyC,lvgl,lv_font_dejavu_20_cyrillic.c,lv_fonts/lv_misc,c
117,00070fb2979325a2156e6ca27bafb85cef299b16,156484,/ssd/swh-datasets/blobs-C,text/x-c,C,C,ijkplayer,ff_ffplay.c,ijkplayer/ijkmedia,c
118,0007169d86c70c4fc68f72782442dfc772c44c2c,9793,/ssd/swh-datasets/blobs-C,text/x-c,C,C,scrcpy,aoa_hid.c,usb/src/app,c
119,000740c5b0a5cfbf29f6c6af8ea74137eb67a6b0,854,/ssd/swh-datasets/blobs-C,text/plain,JavaScript,JavaScript,lede,background.js,browser/unblockmusic/share/usr/root/luci-app-unblockmusic/lean/package,js
120,00074232235f707a10d54ac53fade51790236a1d,3597,/ssd/swh-datasets/blobs-C,text/x-diff,C,Perl,openwrt,962-backport_gpiolib_dynamic_gpio_number_allocation.patch,patches-2.6.25/generic-2.6/linux/target,patch
121,00074d561f125e9e57d882c57cadcac3abedb4fd,39064,/ssd/swh-datasets/blobs-C,text/x-c,C,C,curl,curl.h,curl/include,h
122,0007500995663dc3944a3e38e4cbee2077ee11b1,1547,/ssd/swh-datasets/blobs-C,text/x-diff,C,Qt Script,openwrt,507-board-MAGIC.patch,patches-3.10/brcm63xx/linux/target,patch
123,00075016d5be392008d392ab161289a7f706cc99,32830,/ssd/swh-datasets/blobs-C,text/x-c,C,C,Tasmota,i18n.h,tasmota,h
124,000750fa1270c2c59de4e6e68016aa3128780683,2106,/ssd/swh-datasets/blobs-C,text/x-c,C++,Perl,openwrt,HPM.dts,dts/ramips/linux/target,dts
125,0007535895473e091d68d60b2606d2199066cfb4,2840,/ssd/swh-datasets/blobs-C,text/x-c,C++,Perl,lede,ARV7525PW.dts,dts/boot/mips/arch/files-4.9/lantiq/linux/target,dts
126,0007611feee0a97ec93b394a97756335c625b0dc,40825,/ssd/swh-datasets/blobs-C,text/x-shellscript,Shell,Shell,netdata,netdata-installer.sh,,sh
127,0007658257592f2a8235ce0c826f638b63de5ba1,1227,/ssd/swh-datasets/blobs-C,text/x-shellscript,Shell,Shell,netdata,50-bash-4.4.18.install.sh,jobs/makeself,sh
128,00076bfc497b5e51ab6cb7886033645f2e007c5a,116,/ssd/swh-datasets/blobs-C,text/plain,INI,reStructuredText,qmk_firmware,readme.md,rgb/keymaps/ut47/40percentclub/keyboards,md
129,0007737d0f0a898ee7fbf5176c206ddf39c103ae,934,/ssd/swh-datasets/blobs-C,text/x-diff,INI,Markdown,lede,950-0337-media-adv7180-Add-YPrPb-support-for-ADV7282M.patch,patches-4.14/brcm2708/linux/target,patch
130,00078d0de184d959f89447698ac9a63a40aa8572,4397,/ssd/swh-datasets/blobs-C,text/x-c,C,C,curl,tool_cb_prg.c,src,c
131,000794a347f0c91f70577a72ab30b6bf22ce2336,2725,/ssd/swh-datasets/blobs-C,text/x-diff,Lua,JavaScript,openwrt,531-board_AR-5387un.patch,patches-3.18/brcm63xx/linux/target,patch
132,0007a4574da5788d009187d87285c183c9f549b6,1543,/ssd/swh-datasets/blobs-C,text/plain,Makefile,Makefile,openwrt,kernel-version.mk,include,mk
133,0007b3321f59324eba4b284f1613722d8eabee81,5300,/ssd/swh-datasets/blobs-C,text/x-c,C,C,darwin-xnu,misc_protos.h,i386/osfmk,h
134,0007b3ed255ae413448c4747f962fd08a1c1efba,1549,/ssd/swh-datasets/blobs-C,text/x-c,C,C,qmk_firmware,process_midi.h,process_keycode/quantum,h
135,0007c45ce7eb75b9f0d3fbc4b75867980f5345ef,16895,/ssd/swh-datasets/blobs-C,image/png,CSV,M,nuklear,nodedit.png,screen,png
136,0007d9dae8af48883186221909f7d6376c9358c7,3148,/ssd/swh-datasets/blobs-C,text/plain,C++,TSX,openwrt,ARV4518PWR01.dts,dts/lantiq/linux/target,dts
137,0007e0898cc717ba7bf8396f666dc903984c3fcc,1461,/ssd/swh-datasets/blobs-C,text/x-c,C,C,qmk_firmware,stanrc85.h,stanrc85/users,h
138,0007ef43fbef87f52803b324482d48ac7c0647fc,21452,/ssd/swh-datasets/blobs-C,text/x-c,C,C,zstd,bench.c,programs,c
139,00080b80bb792ee8ea0d2efa8d56df3a3dfc1137,1671,/ssd/swh-datasets/blobs-C,text/plain,Makefile,Makefile,lede,Makefile,fullconenat/services/network/package,
140,0008147cc5015554b4f0bdc4d67afb5db7eb1733,1349,/ssd/swh-datasets/blobs-C,text/x-c,C,C,tengine,ngx_http_tfs_duplicate.h,ngx_http_tfs_module/modules,h
141,00081c49b603958af36bef257801372aab48f66f,1415,/ssd/swh-datasets/blobs-C,text/x-diff,C,C,openwrt,210-dwc2_defaults.patch,patches-3.14/cns3xxx/linux/target,patch
142,00082dfe08708ed38abfd460bc0fdf4ff210d6c5,4673,/ssd/swh-datasets/blobs-C,text/x-c,C,C,micropython,objobject.c,py,c
143,0008404dca3d6efb227e7475d2e8a6e1ed39ea3b,34239,/ssd/swh-datasets/blobs-C,text/x-c,C,C,redis,t_list.c,src,c
144,0008459eac715c0456673b77b70ee1ce65e1f2e6,1316,/ssd/swh-datasets/blobs-C,text/x-c,C,Filterscript,libuv,test-fail-always.c,test,c
145,00085103af52fea006bdc1ff417811d989156a85,28109,/ssd/swh-datasets/blobs-C,text/x-shellscript,Shell,Shell,openresty,mirror-tarballs,util,
146,0008606290134235ccd0b939d9b44bc7fa3fad31,200,/ssd/swh-datasets/blobs-C,application/json,JSON,JSONLD,Mailspring,package.json,cloud-metrics/packages,json
147,000865d2f64363327157a5c76af49bb072ff4f4a,16113,/ssd/swh-datasets/blobs-C,text/x-c,C,C,nginx,ngx_mail_handler.c,mail/src,c
148,00087a22b3d92c91e512d3debe6e8591287ab5b1,11562,/ssd/swh-datasets/blobs-C,text/x-c,C,C++,netdata,process_data.c,exporting,c
149,000882eca6e5a561c94999f765bcd92495a30bf0,509,/ssd/swh-datasets/blobs-C,text/x-c,C,C,skynet,varint.h,lua-protobuf,h
150,0008a22fb34de1c2bbb50634cf7cea103898fe35,2859,/ssd/swh-datasets/blobs-C,text/plain,Shell,Shell,openwrt,hostapd.sh,files/hostapd/package,sh
151,0008a706a2f2e5d8fe5bff137e54242b2af4ca1a,929,/ssd/swh-datasets/blobs-C,image/gif,CSV,JavaScript,openwrt,station.gif,wiviz/www/files/wiviz/package/openwrt,gif
152,0008a79a41cfb99e7b67fc1f8eeae3d664e1ff03,15404,/ssd/swh-datasets/blobs-C,text/x-c,C++,C++,Tasmota,ir_Electra.cpp,src/IRremoteESP8266-2.7.11/lib_basic/lib,cpp
153,0008c272156ca30a09fb5622fd0a9e5dfccc8de4,20702,/ssd/swh-datasets/blobs-C,text/plain,CoffeeScript,Perl,Mailspring,draft-store-spec.coffee,stores/spec-inbox,coffee
154,0008e020e09b2b6aa00e83beb85eea376fafe048,7012,/ssd/swh-datasets/blobs-C,text/x-c,C,C,libsodium,crypto_box.h,sodium/include/libsodium/src,h
